Date,Close,High,Low,Open,Volume
2010-01-04,5232.200195,5238.450195,5167.100098,5200.899902,216147837
2010-01-05,5277.899902,5288.350098,5242.399902,5277.149902,181246734
2010-01-06,5281.799805,5310.850098,5260.049805,5278.149902,201910800
2010-01-07,5263.100098,5302.549805,5244.75,5281.799805,238011959
2010-01-08,5244.75,5276.75,5234.700195,5264.25,206748015
2010-01-11,5249.399902,5287.200195,5227.799805,5263.799805,200774550
2010-01-12,5210.399902,5300.5,5200.950195,5251.100098,171282618
2010-01-13,5233.950195,5239.200195,5169.549805,5212.600098,167242355
2010-01-14,5259.899902,5272.850098,5232.5,5234.5,153687597
2010-01-15,5252.200195,5279.850098,5242.450195,5259.899902,141424524
2010-01-18,5274.850098,5292.5,5228.950195,5253.649902,167867201
2010-01-19,5225.649902,5287.799805,5218.649902,5274.200195,190009431
2010-01-20,5221.700195,5256.700195,5201.399902,5226.100098,270251977
2010-01-21,5094.149902,5220.350098,5085.450195,5220.200195,166405391
2010-01-22,5036,5094.149902,4954.850098,5094.149902,274773820
2010-01-25,5007.899902,5035.700195,4983.049805,5034.549805,275868897
2010-01-27,4853.100098,5008.5,4833.049805,5008.5,265191792
2010-01-28,4867.25,4929.899902,4824.950195,4863,226819473
2010-01-29,4882.049805,4893.700195,4766,4866.149902,235090748
2010-02-01,4899.700195,4918.799805,4827.149902,4882.049805,163105434
2010-02-02,4830.100098,4951.149902,4814.100098,4907.850098,167815142
2010-02-03,4931.850098,4949.149902,4831,4831,222362365
2010-02-04,4845.350098,4931.299805,4832.350098,4931.299805,22091127
2010-02-05,4718.649902,4827,4692.350098,4819.649902,205364363
2010-02-08,4760.399902,4799.049805,4675.399902,4755.350098,175452494
2010-02-09,4792.649902,4810.399902,4739.350098,4760.549805,185053448
2010-02-10,4757.200195,4826.850098,4748.100098,4793,142638466
2010-02-11,4826.850098,4843.799805,4757.25,4757.25,153758927
2010-02-15,4801.950195,4845.600098,4783.899902,4827.899902,156011235
2010-02-16,4855.75,4880,4791.350098,4801.799805,176502266
2010-02-17,4914,4929.700195,4857.600098,4858.649902,193513235
2010-02-18,4887.75,4922.049805,4873.700195,4915.100098,194311305
2010-02-19,4844.899902,4887.299805,4805.549805,4887.299805,149362400
2010-02-22,4856.399902,4912.049805,4845.899902,4849.350098,129233916
2010-02-23,4870.049805,4884.100098,4833.149902,4856.600098,141213476
2010-02-24,4858.600098,4880.549805,4834.649902,4869.549805,179443119
2010-02-25,4859.75,4880.149902,4835.600098,4859,341137163
2010-02-26,4922.299805,4992,4858.450195,4858.5,233127111
2010-03-02,5017,5029.450195,4935.350098,4935.600098,191791765
2010-03-03,5088.100098,5093.25,5015.100098,5015.799805,205104948
2010-03-04,5080.25,5096.950195,5049,5096.950195,209604746
2010-03-05,5088.700195,5118.649902,5068.049805,5080.549805,187964711
2010-03-08,5124,5147.100098,5092.149902,5092.149902,158734706
2010-03-09,5101.5,5131.799805,5094.350098,5121.049805,167174523
2010-03-10,5116.25,5137.399902,5092.049805,5101.600098,155698046
2010-03-11,5133.399902,5152.600098,5102.100098,5116.350098,152561763
2010-03-12,5137,5158.100098,5122.100098,5131.799805,134878673
2010-03-15,5128.899902,5151.049805,5101.200195,5134.450195,120692486
2010-03-16,5198.100098,5209.25,5125.700195,5128.950195,169767105
2010-03-17,5231.899902,5260.5,5177.149902,5198.450195,160336720
2010-03-18,5245.899902,5255.649902,5214.399902,5232.549805,136871848
2010-03-19,5262.799805,5269.950195,5237.100098,5246.799805,130039411
2010-03-22,5205.200195,5260.950195,5187.049805,5260.950195,146479804
2010-03-23,5225.299805,5243.600098,5193.399902,5205.850098,207844844
2010-03-25,5260.399902,5267.299805,5202.950195,5225.299805,140965576
2010-03-26,5282,5293.75,5260.549805,5260.549805,132186441
2010-03-29,5302.850098,5329.549805,5242.149902,5283.899902,133483766
2010-03-30,5262.450195,5325,5251.350098,5302.950195,147618695
2010-03-31,5249.100098,5293.899902,5235.149902,5260.399902,127773261
2010-04-01,5290.5,5298.600098,5249.200195,5249.200195,132419861
2010-04-05,5368.399902,5377.549805,5291.399902,5291.399902,147051901
2010-04-06,5366,5388.649902,5351.700195,5369.649902,166790249
2010-04-07,5374.649902,5399.649902,5345.049805,5365.700195,156785881
2010-04-08,5304.450195,5383.649902,5290.25,5376.299805,154497751
2010-04-09,5361.75,5377.450195,5302.25,5302.399902,134901999
2010-04-12,5339.700195,5382.149902,5324.899902,5354.149902,126581805
2010-04-13,5322.950195,5356.5,5301.700195,5340.850098,195013233
2010-04-15,5273.600098,5373.149902,5265.299805,5323.299805,151013525
2010-04-16,5262.600098,5283.049805,5237.549805,5273.399902,155321410
2010-04-19,5203.649902,5279.049805,5160.899902,5279.049805,199478130
2010-04-20,5230.100098,5257.25,5208.299805,5208.299805,196901598
2010-04-21,5244.899902,5266.299805,5230.299805,5230.299805,180286076
2010-04-22,5269.350098,5331.799805,5221.100098,5248.600098,154120422
2010-04-23,5304.100098,5311.049805,5269.649902,5269.649902,127022478
